,word,Male Count,Female Count,Difference,male,female,Difference %,Abs Difference %
1127,spanish,152.0,187.0,-35.0,0.00795409232817329,0.02300802204832915,-0.01505392972015586,0.01505392972015586
422,every,5915.0,2638.0,3277.0,0.30952931658648036,0.3245730596978198,-0.015043743111339436,0.015043743111339436
1592,real,1128.0,358.0,770.0,0.05902773780381231,0.044047443279688965,0.014980294524123347,0.014980294524123347
2703,writer,215.0,213.0,2.0,0.011250854279981957,0.026206998375904327,-0.01495614409592237,0.01495614409592237
726,issues,498.0,333.0,165.0,0.026060118285725648,0.04097150450317437,-0.014911386217448721,0.014911386217448721
1352,sections,1044.0,565.0,479.0,0.05463205520140076,0.06951621634922979,-0.014884161147829027,0.014884161147829027
193,says,1419.0,483.0,936.0,0.07425563824788092,0.059427137162261924,0.014828501085618999,0.014828501085618999
3103,14a,432.0,64.0,368.0,0.02260636766954514,0.007874403267877356,0.014731964401667784,0.014731964401667784
1244,challenging,1511.0,523.0,988.0,0.07906995728861738,0.06434863920468527,0.014721318083932108,0.014721318083932108
6035,chinese,230.0,217.0,13.0,0.012035797601841163,0.02669914858014666,-0.014663350978305496,0.014663350978305496
1089,lowest,597.0,373.0,224.0,0.031240744209996413,0.04589300654559771,-0.0146522623356013,0.0146522623356013
3532,board,755.0,204.0,551.0,0.039508813866913385,0.02509966041635907,0.014409153450554314,0.014409153450554314
1570,formulas,428.0,65.0,363.0,0.022397049450382688,0.00799744081893794,0.014399608631444748,0.014399608631444748
533,50,1634.0,578.0,1056.0,0.08550649252786287,0.07111570451301737,0.014390788014845501,0.014390788014845501
667,better,3434.0,1344.0,2090.0,0.17969969115096762,0.16536246862542447,0.014337222525543147,0.014337222525543147
492,'d,2056.0,758.0,1298.0,0.10758956464950187,0.09326246370392244,0.01432710094557943,0.01432710094557943
433,wanted,837.0,472.0,365.0,0.04379983735974371,0.0580737241005955,-0.01427388674085179,0.01427388674085179
1136,ended,2213.0,826.0,1387.0,0.11580530475162824,0.10162901717604211,0.01417628757558613,0.01417628757558613
648,enjoyed,1730.0,850.0,880.0,0.09053012978776179,0.10458191840149614,-0.01405178861373435,0.01405178861373435
4508,stats,671.0,399.0,272.0,0.03511313126450183,0.04909198287317289,-0.013978851608671058,0.013978851608671058
39558,khankan,8.0,117.0,-109.0,0.00041863643832491,0.014395393474088292,-0.013976757035763383,0.013976757035763383
601,least,2189.0,818.0,1371.0,0.1145493954366535,0.10064471676755746,0.013904678669096046,0.013904678669096046
209,online,3694.0,1684.0,2010.0,0.1933053753965272,0.20719523598602294,-0.013889860589495734,0.013889860589495734
213,learning,3161.0,1457.0,1704.0,0.16541372269313007,0.17926571189527044,-0.013851989202140369,0.013851989202140369
4734,phelan,261.0,0.0,261.0,0.01365801380035019,0.0,0.01365801380035019,0.01365801380035019
24,part,2102.0,1005.0,1097.0,0.10999672416987011,0.1236527388158866,-0.013656014646016498,0.013656014646016498
304,teach,1927.0,709.0,1218.0,0.1008390520815127,0.08723362370195384,0.01360542837955886,0.01360542837955886
622,high,1981.0,732.0,1249.0,0.10366484804020584,0.09006348737634726,0.013601360663858586,0.013601360663858586
187,make,7703.0,3166.0,4537.0,0.40309456055209775,0.38953688665780795,0.013557673894289801,0.013557673894289801
2588,responses,334.0,252.0,82.0,0.01747807130006499,0.031005462867267092,-0.013527391567202101,0.013527391567202101
8924,accommodating,349.0,258.0,91.0,0.018263014621924197,0.031743688173630595,-0.013480673551706398,0.013480673551706398
631,teaching,3738.0,1481.0,2257.0,0.1956078758073142,0.18221861312072443,0.01338926268658977,0.01338926268658977
722,posted,917.0,498.0,419.0,0.04798620174299281,0.06127270042817068,-0.013286498685177867,0.013286498685177867
3274,felker,255.0,1.0,254.0,0.013344036471606507,0.0001230375510605837,0.013220998920545924,0.013220998920545924
2671,psychology,261.0,218.0,43.0,0.01365801380035019,0.026822186131207248,-0.013164172330857057,0.013164172330857057
44652,castillo,3.0,108.0,-105.0,0.00015698866437184126,0.013288055514543037,-0.013131066850171196,0.013131066850171196
877,wonderful,450.0,298.0,152.0,0.02354829965577619,0.03666519021605394,-0.01311689056027775,0.01311689056027775
38,answer,3481.0,1587.0,1894.0,0.18215918022612648,0.19526059353314631,-0.013101413307019832,0.013101413307019832
192,thing,2474.0,946.0,1528.0,0.12946331855197843,0.11639352330331217,0.013069795248666263,0.013069795248666263
2109,dude,289.0,17.0,272.0,0.015123241334487374,0.0020916383680299228,0.013031602966457452,0.013031602966457452
882,point,1663.0,813.0,850.0,0.08702404961679067,0.10002952901225454,-0.01300547939546387,0.01300547939546387
