class,difference,department,Class_Cap
"COM SCI 33 - GHAFORYFARD, P.",-0.01672993,,"COM SCI 33 - GHAFORYFARD, P."
"FILM TV 122E - CANNON, P.J.",-0.018531919,,"FILM TV 122E - CANNON, P.J."
"MGMTEX 440 - GEIS, G.T.",-0.018818819,,"MGMTEX 440 - GEIS, G.T."
"EDUC 470A - LONON, E.",-0.0201,,"EDUC 470A - LONON, E."
"PSYCH 136A - SMURDA, J.D.",-0.021267367,,"PSYCH 136A - SMURDA, J.D."
"EC ENGR 232E - ROYCHOWDHURY, V.P.",-0.022155022,,"EC ENGR 232E - ROYCHOWDHURY, V.P."
"POL SCI 119 - NORTON, A.D.",-0.023376623,,"POL SCI 119 - NORTON, A.D."
"NURSING 164 - KNOLL, M.P.",-0.02383017,,"NURSING 164 - KNOLL, M.P."
"CHIN M60 - HSU, P.W.",-0.025292308,,"CHIN M60 - HSU, P.W."
"STATS 421B - MC CLUSKEY, T.J.",-0.0255,,"STATS 421B - MC CLUSKEY, T.J."
"CHICANO 100SL - GONZALEZ, O.O.",-0.0261,,"CHICANO 100SL - GONZALEZ, O.O."
"CHICANO CM106 - CASAS, R.P.",-0.026131926,,"CHICANO CM106 - CASAS, R.P."
"FILM TV 183A - CRESWICK, A.",-0.0289999,,"FILM TV 183A - CRESWICK, A."
"POL SCI 40 - LEUNG, V.",-0.030530531,,"POL SCI 40 - LEUNG, V."
