"ENROLLMENT","SUBJECT_AREA","CATLG_NBR","SECT_NBR","GRADE","GRD_COUNT","ENRL_TOT","INSTR_NAME","INSTR_CD","TITLE","ENROL_TERM","LG_numeric"
"19F","POL SCI","20","1","D+",1,234,"MIN, E.A.","1","World Politics","255",1.3
"19F","POL SCI","20","1","D",1,234,"MIN, E.A.","1","World Politics","255",1
"19F","POL SCI","20","1","D-",2,234,"MIN, E.A.","1","World Politics","255",0.7
"19F","POL SCI","20","1","F",3,234,"MIN, E.A.","1","World Politics","255",0
"19F","POL SCI","20","1","I",1,234,"MIN, E.A.","1","World Politics","255",0
"19F","POL SCI","20","1","P",1,234,"MIN, E.A.","1","World Politics","255",-1
"19F","POL SCI","40","1","A+",56,361,"SCHWARTZ, T.","1","Introduction to American Politics","255",4
"19F","POL SCI","40","1","A",150,361,"SCHWARTZ, T.","1","Introduction to American Politics","255",4
"19F","POL SCI","40","1","A-",30,361,"SCHWARTZ, T.","1","Introduction to American Politics","255",3.7
"19F","POL SCI","40","1","B+",33,361,"SCHWARTZ, T.","1","Introduction to American Politics","255",3.3
"19F","POL SCI","40","1","B",36,361,"SCHWARTZ, T.","1","Introduction to American Politics","255",3
"19F","POL SCI","40","1","B-",10,361,"SCHWARTZ, T.","1","Introduction to American Politics","255",2.7
"19F","POL SCI","40","1","C+",7,361,"SCHWARTZ, T.","1","Introduction to American Politics","255",2.3
"19F","POL SCI","40","1","C",12,361,"SCHWARTZ, T.","1","Introduction to American Politics","255",2
"19F","POL SCI","40","1","C-",4,361,"SCHWARTZ, T.","1","Introduction to American Politics","255",1.7
"19F","POL SCI","40","1","D+",3,361,"SCHWARTZ, T.","1","Introduction to American Politics","255",1.3
"19F","POL SCI","40","1","D",6,361,"SCHWARTZ, T.","1","Introduction to American Politics","255",1
"19F","POL SCI","40","1","D-",2,361,"SCHWARTZ, T.","1","Introduction to American Politics","255",0.7
"19F","POL SCI","40","1","F",2,361,"SCHWARTZ, T.","1","Introduction to American Politics","255",0
"19F","POL SCI","40","1","P",10,361,"SCHWARTZ, T.","1","Introduction to American Politics","255",-1
"19F","POL SCI","50","1","A+",4,221,"THIES, M.F.","1","Introduction to Comparative Politics","255",4
"19F","POL SCI","50","1","A",43,221,"THIES, M.F.","1","Introduction to Comparative Politics","255",4
"19F","POL SCI","50","1","A-",25,221,"THIES, M.F.","1","Introduction to Comparative Politics","255",3.7
"19F","POL SCI","50","1","B+",30,221,"THIES, M.F.","1","Introduction to Comparative Politics","255",3.3
"19F","POL SCI","50","1","B",34,221,"THIES, M.F.","1","Introduction to Comparative Politics","255",3
"19F","POL SCI","50","1","B-",25,221,"THIES, M.F.","1","Introduction to Comparative Politics","255",2.7
"19F","POL SCI","50","1","C+",16,221,"THIES, M.F.","1","Introduction to Comparative Politics","255",2.3
"19F","POL SCI","50","1","C",26,221,"THIES, M.F.","1","Introduction to Comparative Politics","255",2
"19F","POL SCI","50","1","C-",8,221,"THIES, M.F.","1","Introduction to Comparative Politics","255",1.7
"19F","POL SCI","50","1","D+",2,221,"THIES, M.F.","1","Introduction to Comparative Politics","255",1.3
"19F","POL SCI","50","1","D",1,221,"THIES, M.F.","1","Introduction to Comparative Politics","255",1
"19F","POL SCI","50","1","F",3,221,"THIES, M.F.","1","Introduction to Comparative Politics","255",0
"19F","POL SCI","50","1","I",2,221,"THIES, M.F.","1","Introduction to Comparative Politics","255",0
"19F","POL SCI","50","1","P",2,221,"THIES, M.F.","1","Introduction to Comparative Politics","255",-1
"19F","POL SCI","111C","1","A+",3,100,"BARKER, K.","1","Late Modern Political Theory","255",4
"19F","POL SCI","111C","1","A",14,100,"BARKER, K.","1","Late Modern Political Theory","255",4
"19F","POL SCI","111C","1","A-",25,100,"BARKER, K.","1","Late Modern Political Theory","255",3.7
"19F","POL SCI","111C","1","B+",20,100,"BARKER, K.","1","Late Modern Political Theory","255",3.3
"19F","POL SCI","111C","1","B",9,100,"BARKER, K.","1","Late Modern Political Theory","255",3
"19F","POL SCI","111C","1","B-",8,100,"BARKER, K.","1","Late Modern Political Theory","255",2.7
"19F","POL SCI","111C","1","C+",6,100,"BARKER, K.","1","Late Modern Political Theory","255",2.3
"19F","POL SCI","111C","1","C",5,100,"BARKER, K.","1","Late Modern Political Theory","255",2
"19F","POL SCI","111C","1","D+",3,100,"BARKER, K.","1","Late Modern Political Theory","255",1.3
"19F","POL SCI","111C","1","F",4,100,"BARKER, K.","1","Late Modern Political Theory","255",0
"19F","POL SCI","111C","1","I",2,100,"BARKER, K.","1","Late Modern Political Theory","255",0
"19F","POL SCI","111C","1","P",1,100,"BARKER, K.","1","Late Modern Political Theory","255",-1
"19F","POL SCI","114A","1","A+",1,109,"TROJAN, C.","1","American Political Thought I, 1620 to 1865","255",4
"19F","POL SCI","114A","1","A",33,109,"TROJAN, C.","1","American Political Thought I, 1620 to 1865","255",4
"19F","POL SCI","114A","1","A-",13,109,"TROJAN, C.","1","American Political Thought I, 1620 to 1865","255",3.7
"19F","POL SCI","114A","1","B+",10,109,"TROJAN, C.","1","American Political Thought I, 1620 to 1865","255",3.3
"19F","POL SCI","114A","1","B",22,109,"TROJAN, C.","1","American Political Thought I, 1620 to 1865","255",3
"19F","POL SCI","114A","1","B-",8,109,"TROJAN, C.","1","American Political Thought I, 1620 to 1865","255",2.7
"19F","POL SCI","114A","1","C+",4,109,"TROJAN, C.","1","American Political Thought I, 1620 to 1865","255",2.3
"19F","POL SCI","114A","1","C",5,109,"TROJAN, C.","1","American Political Thought I, 1620 to 1865","255",2
"19F","POL SCI","114A","1","C-",5,109,"TROJAN, C.","1","American Political Thought I, 1620 to 1865","255",1.7
"19F","POL SCI","114A","1","D-",1,109,"TROJAN, C.","1","American Political Thought I, 1620 to 1865","255",0.7
"19F","POL SCI","114A","1","F",3,109,"TROJAN, C.","1","American Political Thought I, 1620 to 1865","255",0
"19F","POL SCI","114A","1","I",1,109,"TROJAN, C.","1","American Political Thought I, 1620 to 1865","255",0
"19F","POL SCI","114A","1","NP",1,109,"TROJAN, C.","1","American Political Thought I, 1620 to 1865","255",-2
"19F","POL SCI","114A","1","P",2,109,"TROJAN, C.","1","American Political Thought I, 1620 to 1865","255",-1
"19F","POL SCI","118","1","A",20,56,"PAGDEN, A.R.","1","Laws of War and Peace from Conquest of America to Declaratio","255",4
"19F","POL SCI","118","1","A-",12,56,"PAGDEN, A.R.","1","Laws of War and Peace from Conquest of America to Declaratio","255",3.7
"19F","POL SCI","118","1","B+",11,56,"PAGDEN, A.R.","1","Laws of War and Peace from Conquest of America to Declaratio","255",3.3
